pre,ACD_avg,ACD_max,ACD_sum,FOUT_avg,FOUT_max,FOUT_sum,MLOC_avg,MLOC_max,MLOC_sum,NBD_avg,NBD_max,NBD_sum,NOCU,NOF_avg,NOF_max,NOF_sum,NOI_avg,NOI_max,NOI_sum,NOM_avg,NOM_max,NOM_sum,NOT_avg,NOT_max,NOT_sum,NSF_avg,NSF_max,NSF_sum,NSM_avg,NSM_max,NSM_sum,PAR_avg,PAR_max,PAR_sum,TLOC_avg,TLOC_max,TLOC_sum,VG_avg,VG_max,VG_sum,post
5,0.5714285714285714,4.0,4.0,5.980769230769231,29.0,311.0,9.23076923076923,55.0,480.0,1.8269230769230769,6.0,95.0,7.0,1.25,8.0,10.0,0.0,0.0,0.0,6.375,18.0,51.0,1.0,1.0,7.0,0.5,3.0,4.0,0.125,1.0,1.0,1.1730769230769231,4.0,61.0,112.0,277.0,784.0,2.576923076923077,11.0,134.0,0
2,0.0,0.0,0.0,4.0,22.0,168.0,6.666666666666667,32.0,280.0,1.3571428571428572,6.0,57.0,3.0,2.6,11.0,13.0,0.3333333333333333,1.0,1.0,8.2,29.0,41.0,0.6666666666666666,1.0,2.0,4.0,16.0,20.0,0.2,1.0,1.0,1.0952380952380951,4.0,46.0,140.0,386.0,420.0,2.333333333333333,15.0,98.0,0
9,1.238095238095238,14.0,26.0,4.321266968325792,33.0,955.0,7.027149321266968,83.0,1553.0,1.4524886877828054,5.0,321.0,21.0,3.555555555555556,26.0,96.0,0.0952380952380952,1.0,2.0,7.518518518518518,52.0,203.0,0.9047619047619048,1.0,19.0,1.0740740740740742,11.0,29.0,0.6666666666666666,9.0,18.0,0.8009049773755657,4.0,177.0,116.0,679.0,2436.0,2.0452488687782804,19.0,452.0,0
2,0.5555555555555556,4.0,5.0,3.752941176470588,80.0,319.0,6.517647058823529,118.0,554.0,1.5647058823529412,6.0,133.0,9.0,2.090909090909091,12.0,23.0,0.0,0.0,0.0,4.818181818181818,18.0,53.0,1.0,1.0,9.0,0.1818181818181818,1.0,2.0,2.909090909090909,9.0,32.0,1.5176470588235291,7.0,129.0,99.44444444444444,219.0,895.0,2.411764705882353,32.0,205.0,0
6,2.0,5.0,18.0,6.552631578947368,63.0,996.0,10.736842105263158,75.0,1632.0,2.0526315789473686,8.0,312.0,9.0,4.6923076923076925,16.0,61.0,0.0,0.0,0.0,11.076923076923077,36.0,144.0,1.0,1.0,9.0,1.8461538461538465,9.0,24.0,0.6153846153846154,3.0,8.0,0.7960526315789473,4.0,121.0,253.44444444444449,724.0,2281.0,2.8092105263157894,21.0,427.0,0
0,0.0,0.0,0.0,2.3793103448275863,8.0,69.0,3.9655172413793114,19.0,115.0,1.4482758620689655,4.0,42.0,4.0,0.5,1.0,2.0,0.0,0.0,0.0,4.0,8.0,16.0,1.0,1.0,4.0,1.75,7.0,7.0,3.25,13.0,13.0,0.7241379310344828,3.0,21.0,53.5,110.0,214.0,1.6206896551724137,5.0,47.0,0
0,0.0,0.0,0.0,5.207792207792208,31.0,401.0,8.61038961038961,52.0,663.0,1.8571428571428568,4.0,143.0,9.0,0.8333333333333334,2.0,10.0,0.1111111111111111,1.0,1.0,5.916666666666667,15.0,71.0,0.8888888888888888,1.0,8.0,1.5,6.0,18.0,0.5,6.0,6.0,1.5324675324675323,5.0,118.0,107.88888888888889,314.0,971.0,2.8181818181818183,16.0,217.0,0
0,0.0,0.0,0.0,8.75,19.0,35.0,28.75,71.0,115.0,2.5,3.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0,9.0,9.0,4.0,4.0,4.0,0.25,1.0,1.0,140.0,140.0,140.0,8.0,18.0,32.0,0
19,0.2142857142857142,2.0,3.0,4.540816326530612,100.0,445.0,8.173469387755102,132.0,801.0,1.4285714285714286,5.0,140.0,14.0,1.5625,9.0,25.0,0.1428571428571428,1.0,2.0,4.75,18.0,76.0,0.8571428571428571,1.0,12.0,4.75,31.0,76.0,1.375,12.0,22.0,1.020408163265306,7.0,100.0,86.07142857142857,348.0,1205.0,2.938775510204082,52.0,288.0,1
28,1.8461538461538465,15.0,48.0,6.32962962962963,77.0,1709.0,9.01851851851852,146.0,2435.0,1.3888888888888888,5.0,375.0,26.0,3.333333333333333,16.0,120.0,0.0384615384615384,1.0,1.0,7.194444444444445,34.0,259.0,0.9615384615384616,1.0,25.0,1.4444444444444444,15.0,52.0,0.2777777777777778,6.0,10.0,0.6962962962962963,3.0,188.0,133.5,805.0,3471.0,2.033333333333333,27.0,549.0,1
